Bankhead Station,Ashby Station,Vine City Station,Omni Station,Five Points Station,Georgia State Station,King Memorial Station,Inman Park Station,Edgewood-Candler Park Station
6:01 AM,6:05 AM,6:06 AM,6:07 AM,6:08 AM,6:09 AM,6:11 AM,--,--
6:13 AM,6:17 AM,6:18 AM,6:19 AM,6:20 AM,6:21 AM,6:23 AM,--,--
6:33 AM,6:37 AM,6:38 AM,6:39 AM,6:40 AM,6:41 AM,6:43 AM,--,--
6:53 AM,6:57 AM,6:58 AM,6:59 AM,7:00 AM,7:01 AM,7:03 AM,--,--
7:13 AM,7:17 AM,7:18 AM,7:19 AM,7:20 AM,7:21 AM,7:23 AM,--,--
7:33 AM,7:37 AM,7:38 AM,7:39 AM,7:40 AM,7:41 AM,7:43 AM,--,--
7:53 AM,7:57 AM,7:58 AM,7:59 AM,8:00 AM,8:01 AM,8:03 AM,--,--
8:13 AM,8:17 AM,8:18 AM,8:19 AM,8:20 AM,8:21 AM,8:23 AM,--,--
8:33 AM,8:37 AM,8:38 AM,8:39 AM,8:40 AM,8:41 AM,8:43 AM,--,--
8:53 AM,8:57 AM,8:58 AM,8:59 AM,9:00 AM,9:01 AM,9:03 AM,--,--
9:13 AM,9:17 AM,9:18 AM,9:19 AM,9:20 AM,9:21 AM,9:23 AM,--,--
9:33 AM,9:37 AM,9:38 AM,9:39 AM,9:40 AM,9:41 AM,9:43 AM,--,--
9:53 AM,9:57 AM,9:58 AM,9:59 AM,10:00 AM,10:01 AM,10:03 AM,--,--
10:13 AM,10:17 AM,10:18 AM,10:19 AM,10:20 AM,10:21 AM,10:23 AM,--,--
10:33 AM,10:37 AM,10:38 AM,10:39 AM,10:40 AM,10:41 AM,10:43 AM,--,--
10:53 AM,10:57 AM,10:58 AM,10:59 AM,11:00 AM,11:01 AM,11:03 AM,--,--
11:13 AM,11:17 AM,11:18 AM,11:19 AM,11:20 AM,11:21 AM,11:23 AM,--,--
11:33 AM,11:37 AM,11:38 AM,11:39 AM,11:40 AM,11:41 AM,11:43 AM,--,--
11:53 AM,11:57 AM,11:58 AM,11:59 AM,12:00 PM,12:01 PM,12:03 PM,--,--
12:13 PM,12:17 PM,12:18 PM,12:19 PM,12:20 PM,12:21 PM,12:23 PM,--,--
12:33 PM,12:37 PM,12:38 PM,12:39 PM,12:40 PM,12:41 PM,12:43 PM,--,--
12:53 PM,12:57 PM,12:58 PM,12:59 PM,1:00 PM,1:01 PM,1:03 PM,--,--
1:13 PM,1:17 PM,1:18 PM,1:19 PM,1:20 PM,1:21 PM,1:23 PM,--,--
1:33 PM,1:37 PM,1:38 PM,1:39 PM,1:40 PM,1:41 PM,1:43 PM,--,--
1:53 PM,1:57 PM,1:58 PM,1:59 PM,2:00 PM,2:01 PM,2:03 PM,--,--
2:13 PM,2:17 PM,2:18 PM,2:19 PM,2:20 PM,2:21 PM,2:23 PM,--,--
2:33 PM,2:37 PM,2:38 PM,2:39 PM,2:40 PM,2:41 PM,2:43 PM,--,--
2:53 PM,2:57 PM,2:58 PM,2:59 PM,3:00 PM,3:01 PM,3:03 PM,--,--
3:13 PM,3:17 PM,3:18 PM,3:19 PM,3:20 PM,3:21 PM,3:23 PM,--,--
3:33 PM,3:37 PM,3:38 PM,3:39 PM,3:40 PM,3:41 PM,3:43 PM,--,--
3:53 PM,3:57 PM,3:58 PM,3:59 PM,4:00 PM,4:01 PM,4:03 PM,--,--
4:13 PM,4:17 PM,4:18 PM,4:19 PM,4:20 PM,4:21 PM,4:23 PM,--,--
4:33 PM,4:37 PM,4:38 PM,4:39 PM,4:40 PM,4:41 PM,4:43 PM,--,--
