Edgewood-Candler Park Station,Inman Park Station,King Memorial Station,Georgia State Station,Five Points Station,Omni Station,Vine City Station,Ashby Station,Bankhead Station
--,--,5:59 AM,6:01 AM,6:02 AM,6:03 AM,6:04 AM,6:05 AM,6:09 AM
--,--,6:15 AM,6:17 AM,6:18 AM,6:19 AM,6:20 AM,6:21 AM,6:25 AM
--,--,6:27 AM,6:29 AM,6:30 AM,6:31 AM,6:32 AM,6:33 AM,6:37 AM
--,--,6:47 AM,6:49 AM,6:50 AM,6:51 AM,6:52 AM,6:53 AM,6:57 AM
--,--,7:07 AM,7:09 AM,7:10 AM,7:11 AM,7:12 AM,7:13 AM,7:17 AM
--,--,7:27 AM,7:29 AM,7:30 AM,7:31 AM,7:32 AM,7:33 AM,7:37 AM
--,--,7:47 AM,7:49 AM,7:50 AM,7:51 AM,7:52 AM,7:53 AM,7:57 AM
--,--,8:07 AM,8:09 AM,8:10 AM,8:11 AM,8:12 AM,8:13 AM,8:17 AM
--,--,8:27 AM,8:29 AM,8:30 AM,8:31 AM,8:32 AM,8:33 AM,8:37 AM
--,--,8:47 AM,8:49 AM,8:50 AM,8:51 AM,8:52 AM,8:53 AM,8:57 AM
--,--,9:07 AM,9:09 AM,9:10 AM,9:11 AM,9:12 AM,9:13 AM,9:17 AM
--,--,9:27 AM,9:29 AM,9:30 AM,9:31 AM,9:32 AM,9:33 AM,9:37 AM
--,--,9:47 AM,9:49 AM,9:50 AM,9:51 AM,9:52 AM,9:53 AM,9:57 AM
--,--,10:07 AM,10:09 AM,10:10 AM,10:11 AM,10:12 AM,10:13 AM,10:17 AM
--,--,10:27 AM,10:29 AM,10:30 AM,10:31 AM,10:32 AM,10:33 AM,10:37 AM
--,--,10:47 AM,10:49 AM,10:50 AM,10:51 AM,10:52 AM,10:53 AM,10:57 AM
--,--,11:07 AM,11:09 AM,11:10 AM,11:11 AM,11:12 AM,11:13 AM,11:17 AM
--,--,11:27 AM,11:29 AM,11:30 AM,11:31 AM,11:32 AM,11:33 AM,11:37 AM
--,--,11:47 AM,11:49 AM,11:50 AM,11:51 AM,11:52 AM,11:53 AM,11:57 AM
--,--,12:07 PM,12:09 PM,12:10 PM,12:11 PM,12:12 PM,12:13 PM,12:17 PM
--,--,12:27 PM,12:29 PM,12:30 PM,12:31 PM,12:32 PM,12:33 PM,12:37 PM
--,--,12:47 PM,12:49 PM,12:50 PM,12:51 PM,12:52 PM,12:53 PM,12:57 PM
--,--,1:07 PM,1:09 PM,1:10 PM,1:11 PM,1:12 PM,1:13 PM,1:17 PM
--,--,1:27 PM,1:29 PM,1:30 PM,1:31 PM,1:32 PM,1:33 PM,1:37 PM
--,--,1:47 PM,1:49 PM,1:50 PM,1:51 PM,1:52 PM,1:53 PM,1:57 PM
--,--,2:07 PM,2:09 PM,2:10 PM,2:11 PM,2:12 PM,2:13 PM,2:17 PM
--,--,2:27 PM,2:29 PM,2:30 PM,2:31 PM,2:32 PM,2:33 PM,2:37 PM
--,--,2:47 PM,2:49 PM,2:50 PM,2:51 PM,2:52 PM,2:53 PM,2:57 PM
--,--,3:07 PM,3:09 PM,3:10 PM,3:11 PM,3:12 PM,3:13 PM,3:17 PM
--,--,3:27 PM,3:29 PM,3:30 PM,3:31 PM,3:32 PM,3:33 PM,3:37 PM
--,--,3:47 PM,3:49 PM,3:50 PM,3:51 PM,3:52 PM,3:53 PM,3:57 PM
--,--,4:07 PM,4:09 PM,4:10 PM,4:11 PM,4:12 PM,4:13 PM,4:17 PM
--,--,4:27 PM,4:29 PM,4:30 PM,4:31 PM,4:32 PM,4:33 PM,4:37 PM
--,--,4:47 PM,4:49 PM,4:50 PM,4:51 PM,4:52 PM,4:53 PM,4:57 PM
--,--,5:07 PM,5:09 PM,5:10 PM,5:11 PM,5:12 PM,5:13 PM,5:17 PM
--,--,5:27 PM,5:29 PM,5:30 PM,5:31 PM,5:32 PM,5:33 PM,5:37 PM
--,--,5:47 PM,5:49 PM,5:50 PM,5:51 PM,5:52 PM,5:53 PM,5:57 PM
--,--,6:07 PM,6:09 PM,6:10 PM,6:11 PM,6:12 PM,6:13 PM,6:17 PM
--,--,6:27 PM,6:29 PM,6:30 PM,6:31 PM,6:32 PM,6:33 PM,6:37 PM
--,--,6:47 PM,6:49 PM,6:50 PM,6:51 PM,6:52 PM,6:53 PM,6:57 PM
--,--,7:07 PM,7:09 PM,7:10 PM,7:11 PM,7:12 PM,7:13 PM,7:17 PM
--,--,7:27 PM,7:29 PM,7:30 PM,7:31 PM,7:32 PM,7:33 PM,7:37 PM
--,--,7:47 PM,7:49 PM,7:50 PM,7:51 PM,7:52 PM,7:53 PM,7:57 PM
--,--,8:07 PM,8:09 PM,8:10 PM,8:11 PM,8:12 PM,8:13 PM,8:17 PM
--,--,8:27 PM,8:29 PM,8:30 PM,8:31 PM,8:32 PM,8:33 PM,8:37 PM
--,--,8:47 PM,8:49 PM,8:50 PM,8:51 PM,8:52 PM,8:53 PM,8:57 PM
--,--,9:07 PM,9:09 PM,9:10 PM,9:11 PM,9:12 PM,9:13 PM,9:17 PM
--,--,--,--,--,--,9:27 PM,9:28 PM,9:32 PM
--,--,--,--,--,--,9:47 PM,9:48 PM,9:52 PM
--,--,--,--,--,--,10:07 PM,10:08 PM,10:12 PM
--,--,--,--,--,--,10:27 PM,10:28 PM,10:32 PM
--,--,--,--,--,--,10:47 PM,10:48 PM,10:52 PM
--,--,--,--,--,--,11:07 PM,11:08 PM,11:12 PM
--,--,--,--,--,--,11:27 PM,11:28 PM,11:32 PM
--,--,--,--,--,--,11:47 PM,11:48 PM,11:52 PM
--,--,--,--,--,--,12:07 AM,12:08 AM,12:12 AM
--,--,--,--,--,--,12:27 AM,12:28 AM,12:32 AM
--,--,--,--,--,--,12:47 AM,12:48 AM,12:52 AM
--,--,--,--,--,--,1:11 AM,1:12 AM,1:16 AM
